id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,UBICA,IDRUT,REG_CONT,CAMCOMER,Anomaly_Score,Group
212002411,2000000,0.0,0.0,1110000,8,0,4,1,0,3,0,0.017293046810349242,Normal
212003711,1950000,0.0,0.0,1152000,8,0,4,3,0,4,0,0.034880606887330606,Normal
212003812,5600000,1.0,400000.0,4200000,8,0,4,3,0,4,0,0.012019470168753285,Normal
212007611,2940000,1.0,0.0,2090000,8,0,3,3,0,4,0,0.026974097983314196,Normal
212008611,20000000,1.0,600000.0,9779000,8,0,3,1,1,4,1,-0.020232836032454644,Outlier
212012213,7500000,1.0,0.0,6280000,8,0,3,1,0,4,0,0.008482828320985939,Normal
212012411,1200000,0.0,107000.0,810000,8,0,2,1,0,4,0,-0.011470739862815759,Outlier
212012511,8400000,0.0,0.0,6362000,8,0,3,1,0,3,0,0.014714291486897482,Normal
212012811,480000,1.0,0.0,360000,8,0,4,3,0,4,0,0.030702728052383294,Normal
212012815,1200000,0.0,0.0,330000,8,0,3,1,0,4,0,0.025492682922481396,Normal
212012912,180000,0.0,0.0,37200,8,0,2,3,0,4,0,0.007619206349874199,Normal
212012914,340000,0.0,0.0,205000,8,0,3,3,0,3,0,0.02749759534225056,Normal
212014212,1600000,0.0,0.0,1490000,8,0,4,3,0,4,0,0.03446101302028276,Normal
212014612,480000,0.0,0.0,342000,8,0,4,3,0,3,0,0.02326637461110194,Normal
212014712,14500000,3.0,1893000.0,6860000,8,0,3,1,1,2,1,-0.03587554947445556,Outlier
212016714,200000,0.0,0.0,113000,8,0,2,3,0,4,0,0.007868568275177857,Normal
212018211,9500000,1.0,500000.0,7005000,8,0,3,1,1,2,1,-0.017554342942196138,Outlier
212018711,2000000,0.0,0.0,1675000,8,0,3,3,0,3,0,0.028260790552471302,Normal
212019911,4000000,1.0,750000.0,2757000,8,0,4,1,0,3,0,0.00847744950950093,Normal
212020311,6800000,1.0,250000.0,4614000,8,0,3,1,0,3,0,0.012703029310528425,Normal
212020811,600000,0.0,0.0,240000,8,0,3,1,0,4,0,0.025067991971017015,Normal
212021011,10000000,3.0,600000.0,5584000,8,0,4,1,1,3,1,-0.009373436948203005,Outlier
212023211,120000,0.0,0.0,110000,8,0,4,3,0,4,0,0.03604561710989273,Normal
212025712,750000,0.0,0.0,600000,13,0,3,3,0,3,0,0.03150979912998376,Normal
212026912,2355945,0.0,0.0,1372827,13,0,3,3,0,4,0,0.03839162606029263,Normal
212027113,474000,0.0,0.0,111212,13,0,2,3,0,4,0,0.008465319511080347,Normal
212027213,1200000,0.0,0.0,90000,13,0,4,1,0,4,0,0.023116660829309972,Normal
212027511,2355945,3.0,3000000.0,1372827,13,0,3,1,1,3,1,-0.007260880530726759,Outlier
212027712,1100000,0.0,0.0,500000,13,0,4,3,0,4,0,0.03694209344135471,Normal
